time,P,G(i),H_sun,T2m,WS10m,Int
20200320:0710,310.6,88.47,13.03,7.31,2.9,0.0
20200320:0810,267.75,77.88,21.7,7.57,3.24,0.0
20200320:0910,627.55,160.17,29.25,7.65,3.17,0.0
20200320:1010,464.1,123.31,35.04,8.03,3.93,0.0
20200320:1110,435.55,116.82,38.34,7.99,3.66,0.0
20200320:1210,350.45,97.35,38.61,8.35,4.34,0.0
20200320:1310,306.7,87.15,35.81,8.17,3.93,0.0
20200320:1410,472.4,125.16,30.41,7.98,4.07,0.0
20200320:1510,148.45,49.14,23.12,7.86,4.28,0.0
20200320:1610,167.55,53.77,14.61,7.43,4.48,0.0
20200320:1710,60.55,26.59,5.42,7.01,4.41,0.0
20200320:1810,0.0,0.0,0.0,6.51,4.48,0.0
20200320:1910,0.0,0.0,0.0,6.05,4.76,0.0
20200320:2010,0.0,0.0,0.0,5.31,4.83,0.0
20200320:2110,0.0,0.0,0.0,4.85,4.9,0.0
20200320:2210,0.0,0.0,0.0,4.43,4.97,0.0
20200320:2310,0.0,0.0,0.0,4.05,5.1,0.0
20200321:0010,0.0,0.0,0.0,3.84,5.03,0.0
20200321:0110,0.0,0.0,0.0,3.69,4.83,0.0
20200321:0210,0.0,0.0,0.0,3.67,4.62,0.0
20200321:0310,0.0,0.0,0.0,3.74,4.48,0.0
20200321:0410,0.0,0.0,0.0,3.75,4.55,0.0
20200321:0510,0.0,0.0,0.0,3.65,4.76,0.0
20200321:0610,41.3,20.9,4.13,3.3,4.83,0.0
20200321:0710,1162.35,288.44,13.4,3.48,4.83,0.0
20200321:0810,2353.75,539.18,22.07,3.82,5.45,0.0
20200321:0910,3312.25,757.0,29.64,4.95,6.48,0.0
20200321:1010,2995.15,688.68,35.44,6.08,6.34,0.0
20200321:1110,2093.85,485.38,38.74,7.26,6.34,0.0
20200321:1210,1203.95,288.14,39.0,8.01,6.21,0.0
20200321:1310,1805.85,422.77,36.17,8.61,6.28,0.0
20200321:1410,1816.95,424.75,30.74,8.64,6.07,0.0
20200321:1510,2272.55,529.66,23.41,8.66,6.14,0.0
20200321:1610,1226.25,303.38,14.88,8.6,6.07,0.0
20200321:1710,204.3,82.12,5.68,7.86,5.38,0.0
20200321:1810,0.0,0.0,0.0,6.75,5.1,0.0
20200321:1910,0.0,0.0,0.0,5.83,4.97,0.0
20200321:2010,0.0,0.0,0.0,5.0,5.03,0.0
20200321:2110,0.0,0.0,0.0,4.22,5.03,0.0
20200321:2210,0.0,0.0,0.0,3.48,4.9,0.0
20200321:2310,0.0,0.0,0.0,2.85,4.83,0.0
20200322:0010,0.0,0.0,0.0,2.33,4.76,0.0
20200322:0110,0.0,0.0,0.0,1.89,4.62,0.0
20200322:0210,0.0,0.0,0.0,1.49,4.62,0.0
20200322:0310,0.0,0.0,0.0,1.14,4.55,0.0
20200322:0410,0.0,0.0,0.0,0.82,4.55,0.0
20200322:0510,0.0,0.0,0.0,0.54,4.55,0.0
20200322:0610,81.15,34.89,4.49,0.35,4.48,0.0
20200322:0710,1338.85,327.76,13.76,1.21,4.55,0.0
20200322:0810,2504.95,570.39,22.45,2.4,5.38,0.0
20200322:0910,3471.3,794.33,30.03,3.83,5.72,0.0
20200322:1010,4004.7,931.56,35.84,5.32,5.79,0.0
20200322:1110,4357.8,1027.71,39.14,6.68,5.93,0.0
20200322:1210,4475.0,1062.76,39.39,7.79,6.0,0.0
20200322:1310,4129.5,977.38,36.53,8.57,5.93,0.0
20200322:1410,3479.75,816.13,31.06,8.94,5.79,0.0
20200322:1510,2546.7,595.71,23.71,8.9,5.59,0.0
20200322:1610,1431.55,353.4,15.15,8.48,5.17,0.0
20200322:1710,260.6,98.2,5.94,7.56,4.55,0.0
20200322:1810,0.0,0.0,0.0,6.2,4.55,0.0
20200322:1910,0.0,0.0,0.0,5.63,5.03,0.0
20200322:2010,0.0,0.0,0.0,4.77,4.97,0.0
20200322:2110,0.0,0.0,0.0,4.03,4.9,0.0
20200322:2210,0.0,0.0,0.0,3.38,4.76,0.0
20200322:2310,0.0,0.0,0.0,2.77,4.62,0.0
20200323:0010,0.0,0.0,0.0,2.21,4.41,0.0
20200323:0110,0.0,0.0,0.0,1.69,4.21,0.0
20200323:0210,0.0,0.0,0.0,1.17,4.07,0.0
20200323:0310,0.0,0.0,0.0,0.67,3.93,0.0
20200323:0410,0.0,0.0,0.0,0.19,3.86,0.0
20200323:0510,0.0,0.0,0.0,-0.19,3.79,0.0
20200323:0610,90.6,37.59,4.84,-0.48,3.79,0.0
20200323:0710,1335.35,325.27,14.12,0.24,3.79,0.0
20200323:0810,2485.2,565.26,22.82,1.52,4.69,0.0
20200323:0910,3446.45,789.87,30.41,3.19,4.97,0.0
20200323:1010,4014.8,939.56,36.24,4.95,4.83,0.0
20200323:1110,4344.05,1035.34,39.54,6.59,4.69,0.0
20200323:1210,4443.15,1069.72,39.77,7.87,4.55,0.0
20200323:1310,4078.7,976.88,36.88,8.72,4.55,0.0
20200323:1410,3447.45,815.93,31.38,9.08,4.55,0.0
20200323:1510,2513.85,591.56,24.0,9.02,4.48,0.0
20200323:1610,1388.15,343.44,15.42,8.45,4.21,0.0
20200323:1710,269.75,100.38,6.2,7.33,3.86,0.0
20200323:1810,0.0,0.0,0.0,5.76,3.93,0.0
20200323:1910,0.0,0.0,0.0,4.91,4.14,0.0
20200323:2010,0.0,0.0,0.0,4.06,4.0,0.0
20200323:2110,0.0,0.0,0.0,3.35,3.79,0.0
20200323:2210,0.0,0.0,0.0,2.73,3.52,0.0
20200323:2310,0.0,0.0,0.0,2.15,3.24,0.0
20200324:0010,0.0,0.0,0.0,1.61,2.97,0.0
20200324:0110,0.0,0.0,0.0,1.14,2.83,0.0
20200324:0210,0.0,0.0,0.0,0.69,2.62,0.0
20200324:0310,0.0,0.0,0.0,0.2,2.55,0.0
20200324:0410,0.0,0.0,0.0,-0.2,2.69,0.0
20200324:0510,0.0,0.0,0.0,-0.46,2.76,0.0
20200324:0610,105.75,42.33,5.2,-0.59,2.62,0.0
20200324:0710,1300.4,318.59,14.48,0.69,2.28,0.0
20200324:0810,2460.95,568.92,23.19,2.9,2.97,0.0
20200324:0910,3353.0,783.12,30.8,4.71,3.38,0.0
20200324:1010,3986.2,951.4,36.63,6.36,3.52,0.0
20200324:1110,4316.55,1047.22,39.94,7.73,3.59,0.0
20200324:1210,4339.45,1059.47,40.16,8.8,3.59,0.0
20200324:1310,3989.2,966.75,37.24,9.53,3.66,0.0
20200324:1410,3395.4,812.23,31.7,9.88,3.66,0.0
20200324:1510,2521.85,598.31,24.29,9.82,3.72,0.0
20200324:1610,1405.9,350.09,15.69,9.3,3.52,0.0
20200324:1710,279.5,105.39,6.46,8.13,3.1,0.0
20200324:1810,0.0,0.0,0.0,6.3,3.31,0.0
20200324:1910,0.0,0.0,0.0,5.3,3.52,0.0
20200324:2010,0.0,0.0,0.0,4.41,3.66,0.0
20200324:2110,0.0,0.0,0.0,3.72,3.59,0.0
20200324:2210,0.0,0.0,0.0,3.14,3.38,0.0
20200324:2310,0.0,0.0,0.0,2.61,3.03,0.0
20200325:0010,0.0,0.0,0.0,2.03,2.69,0.0
20200325:0110,0.0,0.0,0.0,1.33,2.48,0.0
20200325:0210,0.0,0.0,0.0,0.55,2.55,0.0
20200325:0310,0.0,0.0,0.0,-0.06,2.62,0.0
20200325:0410,0.0,0.0,0.0,-0.62,2.62,0.0
20200325:0510,0.0,0.0,0.0,-1.13,2.48,0.0
20200325:0610,120.35,45.52,5.55,-1.57,2.28,0.0
20200325:0710,1354.05,330.42,14.84,-0.05,1.79,0.0
20200325:0810,2494.35,579.66,23.56,2.65,2.21,0.0
20200325:0910,3307.3,776.47,31.19,4.33,2.69,0.0
20200325:1010,3899.3,934.47,37.03,5.85,2.9,0.0
20200325:1110,4165.05,1011.03,40.34,7.15,3.1,0.0
20200325:1210,4347.0,1061.53,40.54,8.15,3.38,0.0
20200325:1310,3986.4,962.35,37.59,8.82,3.72,0.0
20200325:1410,3406.3,810.01,32.02,9.16,4.0,0.0
20200325:1510,2488.05,587.4,24.58,9.22,4.07,0.0
20200325:1610,1317.65,326.86,15.96,9.01,4.0,0.0
20200325:1710,281.45,103.56,6.71,8.21,3.24,0.0
20200325:1810,0.0,0.0,0.0,6.81,3.03,0.0
20200325:1910,0.0,0.0,0.0,6.66,3.31,0.0
20200325:2010,0.0,0.0,0.0,5.89,3.52,0.0
20200325:2110,0.0,0.0,0.0,5.02,3.52,0.0
20200325:2210,0.0,0.0,0.0,4.23,3.31,0.0
20200325:2310,0.0,0.0,0.0,3.25,3.1,0.0
20200326:0010,0.0,0.0,0.0,2.39,2.97,0.0
20200326:0110,0.0,0.0,0.0,1.59,2.83,0.0
20200326:0210,0.0,0.0,0.0,0.87,2.83,0.0
20200326:0310,0.0,0.0,0.0,0.29,2.83,0.0
20200326:0410,0.0,0.0,0.0,-0.17,2.9,0.0
20200326:0510,0.0,0.0,0.0,-0.51,2.97,0.0
20200326:0610,138.45,50.31,5.91,-0.61,2.97,0.0
20200326:0710,1343.7,327.18,15.2,1.02,2.9,0.0
20200326:0810,2496.7,574.22,23.94,2.9,3.72,0.0
20200326:0910,3419.2,793.05,31.57,4.62,4.28,0.0
20200326:1010,3966.25,937.71,37.43,6.09,4.28,0.0
20200326:1110,4291.9,1031.28,40.74,7.34,4.21,0.0
20200326:1210,4431.55,1071.43,40.93,8.28,4.34,0.0
20200326:1310,4050.35,971.49,37.95,8.96,4.48,0.0
20200326:1410,3376.1,799.29,32.34,9.42,4.62,0.0
20200326:1510,2519.6,594.37,24.86,9.7,4.62,0.0
20200326:1610,1412.3,350.53,16.22,9.54,4.41,0.0
20200326:1710,278.8,100.99,6.97,8.77,3.17,0.0
20200326:1810,0.0,0.0,0.0,7.5,2.83,0.0
20200326:1910,0.0,0.0,0.0,6.45,2.76,0.0
20200326:2010,0.0,0.0,0.0,5.5,2.76,0.0
20200326:2110,0.0,0.0,0.0,4.77,2.83,0.0
20200326:2210,0.0,0.0,0.0,4.18,2.83,0.0
20200326:2310,0.0,0.0,0.0,3.67,2.9,0.0
20200327:0010,0.0,0.0,0.0,3.26,2.97,0.0
20200327:0110,0.0,0.0,0.0,2.89,2.9,0.0
20200327:0210,0.0,0.0,0.0,2.51,2.76,0.0
20200327:0310,0.0,0.0,0.0,2.11,2.62,0.0
20200327:0410,0.0,0.0,0.0,1.72,2.55,0.0
20200327:0510,0.0,0.0,0.0,1.38,2.55,0.0
20200327:0610,126.45,45.96,6.26,1.27,2.62,0.0
20200327:0710,1191.8,292.93,15.56,2.59,2.21,0.0
20200327:0810,2289.6,533.09,24.31,4.62,2.83,0.0
20200327:0910,3157.9,743.39,31.96,6.49,3.1,0.0
20200327:1010,3779.95,908.7,37.83,8.27,3.31,0.0
20200327:1110,4082.55,997.88,41.14,9.86,3.38,0.0
20200327:1210,4160.35,1024.09,41.31,11.18,3.52,0.0
20200327:1310,3792.65,925.74,38.3,12.2,3.79,0.0
20200327:1410,3194.5,770.87,32.65,12.89,3.93,0.0
20200327:1510,2355.55,566.73,25.15,13.21,3.86,0.0
20200327:1610,1267.25,321.51,16.49,13.26,3.59,0.0
20200327:1710,260.15,95.39,7.22,12.6,2.62,0.0
20200327:1810,0.0,0.0,0.0,10.89,2.55,0.0
20200327:1910,0.0,0.0,0.0,9.94,2.62,0.0
20200327:2010,0.0,0.0,0.0,9.04,2.69,0.0
20200327:2110,0.0,0.0,0.0,8.34,2.83,0.0
20200327:2210,0.0,0.0,0.0,7.79,2.83,0.0
20200327:2310,0.0,0.0,0.0,7.26,2.76,0.0
20200328:0010,0.0,0.0,0.0,6.71,2.62,0.0
20200328:0110,0.0,0.0,0.0,6.16,2.55,0.0
20200328:0210,0.0,0.0,0.0,5.65,2.55,0.0
20200328:0310,0.0,0.0,0.0,5.18,2.69,0.0
20200328:0410,0.0,0.0,0.0,4.78,2.83,0.0
20200328:0510,0.0,0.0,0.0,4.4,2.83,0.0
20200328:0610,207.85,76.65,6.62,4.21,2.69,0.0
20200328:0710,1186.65,294.53,15.92,5.49,2.69,0.0
20200328:0810,2274.4,532.84,24.68,7.18,3.72,0.0
20200328:0910,3105.6,733.79,32.34,8.87,3.93,0.0
20200328:1010,3696.95,890.4,38.23,10.53,4.07,0.0
20200328:1110,4069.95,992.07,41.54,11.85,4.48,0.0
20200328:1210,4191.0,1024.09,41.69,12.67,4.9,0.0
20200328:1310,3800.9,919.74,38.65,13.03,5.17,0.0
20200328:1410,3229.65,772.8,32.97,12.98,5.17,0.0
20200328:1510,2345.9,559.29,25.43,12.61,5.03,0.0
20200328:1610,1287.85,323.15,16.75,11.91,4.97,0.0
20200328:1710,272.0,98.17,7.48,10.81,4.55,0.0
20200328:1810,0.0,0.0,0.0,9.19,4.62,0.0
20200328:1910,0.0,0.0,0.0,7.57,5.1,0.0
20200328:2010,0.0,0.0,0.0,6.53,5.31,0.0
20200328:2110,0.0,0.0,0.0,5.57,5.1,0.0
20200328:2210,0.0,0.0,0.0,4.93,4.83,0.0
20200328:2310,0.0,0.0,0.0,4.32,4.41,0.0
20200329:0010,0.0,0.0,0.0,3.98,4.28,0.0
20200329:0110,0.0,0.0,0.0,3.69,4.0,0.0
20200329:0210,0.0,0.0,0.0,3.65,3.59,0.0
20200329:0310,0.0,0.0,0.0,3.41,3.52,0.0
20200329:0410,0.0,0.0,0.0,3.24,3.66,0.0
20200329:0510,0.0,0.0,0.0,2.96,3.79,0.0
20200329:0610,255.15,97.59,6.97,2.81,4.0,0.0
20200329:0710,1418.95,346.65,16.28,3.44,3.86,0.0
20200329:0810,2369.2,541.24,25.04,4.37,6.48,0.0
20200329:0910,1942.85,444.3,32.72,4.72,7.24,0.0
20200329:1010,397.4,106.62,38.62,5.24,7.03,0.0
20200329:1110,1022.35,245.82,41.94,6.08,6.76,0.0
20200329:1210,1664.6,388.28,42.07,6.67,6.69,0.0
20200329:1310,722.35,179.86,39.0,6.45,6.76,0.0
20200329:1410,399.55,107.54,33.28,6.23,6.83,0.0
20200329:1510,425.3,113.11,25.71,5.68,6.9,0.0
20200329:1610,398.2,107.13,17.02,5.46,6.48,0.0
20200329:1710,138.2,47.59,7.73,4.79,6.14,0.0
20200329:1810,0.0,0.0,0.0,4.09,5.86,0.0
20200329:1910,0.0,0.0,0.0,3.8,5.17,0.0
20200329:2010,0.0,0.0,0.0,3.23,5.24,0.0
20200329:2110,0.0,0.0,0.0,2.35,5.03,0.0
20200329:2210,0.0,0.0,0.0,1.61,4.69,0.0
20200329:2310,0.0,0.0,0.0,0.96,4.34,0.0
20200330:0010,0.0,0.0,0.0,0.34,3.86,0.0
20200330:0110,0.0,0.0,0.0,-0.27,3.45,0.0
20200330:0210,0.0,0.0,0.0,-0.92,2.97,0.0
20200330:0310,0.0,0.0,0.0,-1.53,2.62,0.0
20200330:0410,0.0,0.0,0.0,-2.0,2.34,0.0
20200330:0510,0.0,0.0,0.0,-2.36,2.14,0.0
20200330:0610,279.55,103.5,7.32,-2.65,1.66,0.0
20200330:0710,1449.95,350.28,16.64,-0.91,1.45,0.0
20200330:0810,2571.0,596.97,25.41,1.01,1.45,0.0
20200330:0910,3376.35,798.86,33.11,2.83,1.59,0.0
20200330:1010,3979.2,962.47,39.02,4.26,1.86,0.0
20200330:1110,1368.4,325.18,42.33,5.78,2.62,0.0
20200330:1210,1627.5,385.22,42.45,6.83,2.83,0.0
20200330:1310,2226.45,525.0,39.34,7.55,2.83,0.0
20200330:1410,611.05,156.68,33.59,7.74,2.9,0.0
20200330:1510,1365.45,325.64,26.0,7.67,3.03,0.0
20200330:1610,1192.85,295.05,17.28,7.41,2.83,0.0
20200330:1710,115.45,41.05,7.99,6.82,2.14,0.0
20200330:1810,0.0,0.0,0.0,5.59,2.14,0.0
20200330:1910,0.0,0.0,0.0,4.99,2.0,0.0
20200330:2010,0.0,0.0,0.0,4.23,2.0,0.0
20200330:2110,0.0,0.0,0.0,3.58,1.93,0.0
20200330:2210,0.0,0.0,0.0,2.99,1.79,0.0
20200330:2310,0.0,0.0,0.0,2.43,1.86,0.0
20200331:0010,0.0,0.0,0.0,2.09,1.93,0.0
20200331:0110,0.0,0.0,0.0,1.66,2.21,0.0
20200331:0210,0.0,0.0,0.0,1.77,2.34,0.0
20200331:0310,0.0,0.0,0.0,2.02,2.69,0.0
20200331:0410,0.0,0.0,0.0,2.07,3.24,0.0
20200331:0510,0.0,0.0,0.0,1.76,3.38,0.0
20200331:0610,139.3,46.93,7.67,1.46,3.66,0.0
20200331:0710,411.3,108.78,16.99,1.82,3.45,0.0
20200331:0810,707.3,174.19,25.78,2.51,3.38,0.0
20200331:0910,1573.85,365.79,33.49,3.59,3.31,0.0
20200331:1010,2425.9,563.55,39.41,5.19,3.52,0.0
20200331:1110,4163.7,1001.89,42.73,6.21,3.38,0.0
20200331:1210,4388.05,1069.57,42.83,6.91,3.1,0.0
20200331:1310,3985.75,962.14,39.69,7.4,3.1,0.0
20200331:1410,3406.05,810.75,33.9,7.67,3.1,0.0
20200331:1510,2544.3,599.82,26.28,7.76,3.24,0.0
20200331:1610,1461.35,359.94,17.54,7.37,3.31,0.0
20200331:1710,337.2,121.59,8.24,6.76,2.83,0.0
20200331:1810,0.0,0.0,0.0,5.45,2.34,0.0
20200331:1910,0.0,0.0,0.0,4.65,2.34,0.0
20200331:2010,0.0,0.0,0.0,3.6,2.34,0.0
20200331:2110,0.0,0.0,0.0,2.69,2.21,0.0
20200331:2210,0.0,0.0,0.0,1.8,2.07,0.0
20200331:2310,0.0,0.0,0.0,0.78,1.86,0.0
20200401:0010,0.0,0.0,0.0,-0.41,1.66,0.0
20200401:0110,0.0,0.0,0.0,-0.94,1.38,0.0
20200401:0210,0.0,0.0,0.0,-0.86,1.1,0.0
20200401:0310,0.0,0.0,0.0,-0.26,0.83,0.0
20200401:0410,0.0,0.0,0.0,-0.47,0.55,0.0
20200401:0510,0.0,0.0,0.0,-0.77,0.34,0.0
20200401:0610,311.4,112.31,8.02,-0.8,0.07,0.0
20200401:0710,1444.2,352.04,17.35,0.28,0.34,0.0
20200401:0810,2508.65,593.38,26.14,3.05,0.69,0.0
20200401:0910,3321.9,801.9,33.87,5.07,1.03,0.0
20200401:1010,3802.1,936.89,39.8,6.58,1.31,0.0
20200401:1110,4036.8,1010.11,43.12,7.47,1.31,0.0
20200401:1210,4119.8,1041.75,43.2,8.2,1.17,0.0
20200401:1310,3789.8,948.92,40.03,8.73,1.1,0.0
20200401:1410,3294.75,809.44,34.21,9.03,1.17,0.0
20200401:1510,2519.6,607.69,26.55,9.09,1.45,0.0
20200401:1610,1449.3,362.34,17.8,8.79,1.59,0.0
20200401:1710,335.7,119.69,8.49,8.16,1.38,0.0
20200401:1810,0.0,0.0,0.0,7.07,1.52,0.0
20200401:1910,0.0,0.0,0.0,5.65,1.93,0.0
20200401:2010,0.0,0.0,0.0,4.25,1.93,0.0
20200401:2110,0.0,0.0,0.0,2.75,1.79,0.0
20200401:2210,0.0,0.0,0.0,1.63,1.66,0.0
20200401:2310,0.0,0.0,0.0,0.88,1.52,0.0
20200402:0010,0.0,0.0,0.0,0.82,1.31,0.0
20200402:0110,0.0,0.0,0.0,1.21,1.03,0.0
20200402:0210,0.0,0.0,0.0,1.19,0.97,0.0
20200402:0310,0.0,0.0,0.0,1.06,0.9,0.0
20200402:0410,0.0,0.0,0.0,1.26,0.55,0.0
20200402:0510,0.0,0.0,0.0,0.49,0.97,0.0
20200402:0610,244.3,78.32,8.37,-0.36,1.1,0.0
20200402:0710,1006.95,247.37,17.7,2.39,0.69,0.0
20200402:0810,901.05,220.13,26.51,4.75,1.03,0.0
20200402:0910,3075.55,736.31,34.24,6.4,1.59,0.0
20200402:1010,3783.2,919.2,40.19,7.59,2.34,0.0
20200402:1110,1644.6,392.58,43.51,8.49,2.62,0.0
20200402:1210,1350.05,324.79,43.58,8.62,2.97,0.0
20200402:1310,1525.6,364.08,40.37,8.65,3.24,0.0
20200402:1410,960.15,235.71,34.51,8.69,3.59,0.0
20200402:1510,953.3,233.68,26.83,8.59,3.72,0.0
20200402:1610,387.85,106.26,18.05,8.51,3.66,0.0
20200402:1710,128.85,44.66,8.74,8.27,2.9,0.0
20200402:1810,0.0,0.0,0.0,7.73,2.83,0.0
20200402:1910,0.0,0.0,0.0,7.42,2.83,0.0
20200402:2010,0.0,0.0,0.0,6.93,2.69,0.0
20200402:2110,0.0,0.0,0.0,6.37,2.9,0.0
20200402:2210,0.0,0.0,0.0,6.2,3.31,0.0
20200402:2310,0.0,0.0,0.0,6.28,3.59,0.0
20200403:0010,0.0,0.0,0.0,6.18,3.72,0.0
20200403:0110,0.0,0.0,0.0,5.92,3.52,0.0
20200403:0210,0.0,0.0,0.0,5.71,3.24,0.0
20200403:0310,0.0,0.0,0.0,5.37,2.97,0.0
20200403:0410,0.0,0.0,0.0,5.47,2.97,0.0
20200403:0510,0.0,0.0,0.0,5.0,2.9,0.0
20200403:0610,330.1,116.8,8.72,4.91,2.76,0.0
20200403:0710,1403.35,344.93,18.05,5.84,2.69,0.0
20200403:0810,2216.15,520.9,26.87,7.28,3.17,0.0
20200403:0910,1876.5,442.2,34.62,8.53,3.86,0.0
20200403:1010,372.8,102.91,40.58,9.33,4.41,0.0
20200403:1110,1334.25,321.02,43.9,9.65,4.55,0.0
20200403:1210,1564.55,374.01,43.95,10.05,4.48,0.0
20200403:1310,1305.35,315.36,40.71,10.48,4.55,0.0
20200403:1410,958.55,236.51,34.82,10.3,4.55,0.0
20200403:1510,1240.05,299.38,27.11,10.05,4.34,0.0
20200403:1610,1155.5,287.36,18.31,9.59,4.07,0.0
20200403:1710,341.3,121.32,8.99,8.84,3.31,0.0
20200403:1810,0.0,0.0,0.0,7.63,2.48,0.0
20200403:1910,0.0,0.0,0.0,6.23,2.07,0.0
20200403:2010,0.0,0.0,0.0,5.06,1.72,0.0
20200403:2110,0.0,0.0,0.0,3.64,1.31,0.0
20200403:2210,0.0,0.0,0.0,4.77,0.48,0.0
20200403:2310,0.0,0.0,0.0,4.34,0.76,0.0
20200404:0010,0.0,0.0,0.0,2.1,1.31,0.0
20200404:0110,0.0,0.0,0.0,0.28,1.59,0.0
20200404:0210,0.0,0.0,0.0,-1.05,1.86,0.0
20200404:0310,0.0,0.0,0.0,-1.69,1.72,0.0
20200404:0410,0.0,0.0,0.0,-2.0,1.72,0.0
20200404:0510,0.0,0.0,0.0,-2.35,1.79,0.0
20200404:0610,321.35,102.57,9.06,-1.42,1.59,0.0
20200404:0710,1432.45,349.87,18.4,3.61,1.52,0.0
20200404:0810,2473.1,588.19,27.23,6.96,1.72,0.0
20200404:0910,3330.45,807.02,34.99,9.03,2.07,0.0
20200404:1010,3809.7,946.56,40.97,10.34,1.93,0.0
20200404:1110,4108.15,1047.5,44.29,11.31,1.52,0.0
20200404:1210,4090.25,1054.49,44.32,12.19,1.24,0.0
20200404:1310,3744.85,953.87,41.05,12.75,1.24,0.0
20200404:1410,3204.55,801.87,35.12,13.28,1.24,0.0
20200404:1510,2421.55,598.64,27.38,13.54,1.1,0.0
20200404:1610,1408.0,361.6,18.57,13.44,0.83,0.0
20200404:1710,340.5,124.17,9.23,13.03,0.28,0.0
20200404:1810,0.0,0.0,0.0,11.55,1.31,0.0
20200404:1910,0.0,0.0,0.0,9.26,2.62,0.0
20200404:2010,0.0,0.0,0.0,8.21,2.69,0.0
20200404:2110,0.0,0.0,0.0,7.41,2.76,0.0
20200404:2210,0.0,0.0,0.0,6.83,2.76,0.0
20200404:2310,0.0,0.0,0.0,6.36,2.76,0.0
20200405:0010,0.0,0.0,0.0,5.95,2.69,0.0
20200405:0110,0.0,0.0,0.0,5.62,2.69,0.0
20200405:0210,0.0,0.0,0.0,5.43,2.76,0.0
20200405:0310,0.0,0.0,0.0,5.35,2.83,0.0
20200405:0410,0.0,0.0,0.0,5.3,2.9,0.0
20200405:0510,0.0,0.0,0.0,5.3,3.03,0.0
20200405:0610,359.25,122.53,9.41,5.8,2.97,0.0
20200405:0710,1486.15,367.53,18.75,8.59,3.52,0.0
20200405:0810,2554.5,610.58,27.59,11.37,3.79,0.0
20200405:0910,3320.3,804.55,35.37,13.78,4.34,0.0
20200405:1010,3890.6,961.88,41.35,15.66,4.62,0.0
20200405:1110,4237.95,1063.87,44.68,17.03,4.76,0.0
20200405:1210,4217.85,1063.88,44.69,18.01,4.76,0.0
20200405:1310,3884.2,974.58,41.39,18.67,4.69,0.0
20200405:1410,3216.15,797.58,35.42,19.0,4.55,0.0
20200405:1510,2417.65,597.09,27.65,19.01,4.34,0.0
20200405:1610,1414.75,366.46,18.82,18.58,3.66,0.0
20200405:1710,343.65,124.92,9.48,17.38,3.17,0.0
20200405:1810,0.0,0.0,0.0,15.24,3.17,0.0
20200405:1910,0.0,0.0,0.0,13.82,3.52,0.0
20200405:2010,0.0,0.0,0.0,12.84,3.66,0.0
20200405:2110,0.0,0.0,0.0,12.12,3.79,0.0
20200405:2210,0.0,0.0,0.0,11.69,3.86,0.0
20200405:2310,0.0,0.0,0.0,11.42,3.86,0.0
20200406:0010,0.0,0.0,0.0,11.2,3.93,0.0
20200406:0110,0.0,0.0,0.0,11.05,3.93,0.0
20200406:0210,0.0,0.0,0.0,10.88,3.93,0.0
20200406:0310,0.0,0.0,0.0,10.7,3.93,0.0
20200406:0410,0.0,0.0,0.0,10.48,4.0,0.0
20200406:0510,0.0,0.0,0.0,10.19,4.0,0.0
20200406:0610,365.0,125.94,9.75,10.26,4.07,0.0
20200406:0710,1450.2,363.22,19.09,11.71,3.72,0.0
20200406:0810,2497.45,602.06,27.94,13.72,4.14,0.0
20200406:0910,3278.4,797.68,35.73,15.42,4.76,0.0
20200406:1010,3793.95,940.48,41.73,16.81,4.76,0.0
20200406:1110,4120.35,1039.48,45.06,18.07,4.55,0.0
20200406:1210,4119.45,1045.18,45.06,19.16,4.55,0.0
20200406:1310,3758.25,944.78,41.72,19.66,4.76,0.0
20200406:1410,3205.95,794.98,35.72,19.61,4.9,0.0
20200406:1510,2409.3,594.45,27.92,19.27,4.69,0.0
20200406:1610,1382.45,357.62,19.07,18.75,4.21,0.0
20200406:1710,302.0,102.41,9.73,17.84,3.31,0.0
20200406:1810,0.0,0.0,0.0,16.2,2.55,0.0
20200406:1910,0.0,0.0,0.0,14.7,2.69,0.0
20200406:2010,0.0,0.0,0.0,13.63,2.48,0.0
20200406:2110,0.0,0.0,0.0,12.5,2.07,0.0
20200406:2210,0.0,0.0,0.0,11.88,1.72,0.0
20200406:2310,0.0,0.0,0.0,11.57,1.52,0.0
20200407:0010,0.0,0.0,0.0,10.88,1.52,0.0
20200407:0110,0.0,0.0,0.0,10.66,1.31,0.0
20200407:0210,0.0,0.0,0.0,9.69,1.38,0.0
20200407:0310,0.0,0.0,0.0,8.88,1.24,0.0
20200407:0410,0.0,0.0,0.0,9.49,0.76,0.0
20200407:0510,0.0,0.0,0.0,9.49,0.62,0.0
20200407:0610,367.95,123.68,10.09,8.02,1.1,0.0
20200407:0710,1394.95,350.85,19.44,10.47,1.45,0.0
20200407:0810,2373.25,575.56,28.29,12.28,2.21,0.0
20200407:0910,3173.75,779.49,36.1,13.9,2.69,0.0
20200407:1010,3770.7,945.59,42.11,15.42,2.97,0.0
20200407:1110,4084.15,1037.22,45.45,16.75,3.31,0.0
20200407:1210,4042.25,1028.91,45.43,17.73,3.45,0.0
20200407:1310,3725.35,942.63,42.06,18.35,3.38,0.0
20200407:1410,3100.25,776.49,36.02,18.74,3.03,0.0
20200407:1510,2363.2,586.88,28.19,18.45,2.97,0.0
20200407:1610,1353.35,351.17,19.32,18.38,3.03,0.0
20200407:1710,337.2,120.17,9.97,17.73,2.62,0.0
