time,P,G(i),H_sun,T2m,WS10m,Int
20200105:0610,0.0,0.0,0.0,4.07,2.07,0.0
20200105:0710,0.0,0.0,0.0,4.03,2.21,0.0
20200105:0810,9.1,9.62,2.9,3.64,2.34,0.0
20200105:0910,215.7,64.42,9.15,4.02,2.41,0.0
20200105:1010,169.3,53.77,13.66,5.09,2.48,0.0
20200105:1110,245.9,72.31,16.07,6.07,2.76,0.0
20200105:1210,202.6,62.12,16.16,6.48,2.76,0.0
20200105:1310,130.6,44.5,13.91,6.78,2.9,0.0
20200105:1410,108.7,38.94,9.55,6.92,2.76,0.0
20200105:1510,0.0,5.56,3.42,6.51,2.48,0.0
20200105:1610,0.0,0.0,0.0,5.64,2.34,0.0
20200105:1710,0.0,0.0,0.0,5.24,2.41,0.0
20200105:1810,0.0,0.0,0.0,5.24,2.48,0.0
20200105:1910,0.0,0.0,0.0,5.58,2.41,0.0
20200105:2010,0.0,0.0,0.0,5.48,2.55,0.0
20200105:2110,0.0,0.0,0.0,5.36,2.62,0.0
20200105:2210,0.0,0.0,0.0,5.33,2.69,0.0
20200105:2310,0.0,0.0,0.0,5.14,2.69,0.0
20200106:0010,0.0,0.0,0.0,5.05,2.62,0.0
20200106:0110,0.0,0.0,0.0,4.73,2.55,0.0
20200106:0210,0.0,0.0,0.0,4.59,2.55,0.0
20200106:0310,0.0,0.0,0.0,4.34,2.48,0.0
20200106:0410,0.0,0.0,0.0,4.2,2.55,0.0
20200106:0510,0.0,0.0,0.0,4.09,2.55,0.0
20200106:0610,0.0,0.0,0.0,4.01,2.62,0.0
20200106:0710,0.0,0.0,0.0,4.16,2.48,0.0
20200106:0810,21.3,13.99,2.96,3.77,2.62,0.0
20200106:0910,1771.65,409.11,9.22,3.56,2.69,0.0
20200106:1010,2620.6,605.92,13.75,4.4,2.62,0.0
20200106:1110,3091.65,722.56,16.18,5.44,2.76,0.0
20200106:1210,2888.8,675.31,16.28,6.56,2.97,0.0
20200106:1310,2601.25,608.02,14.05,7.43,3.03,0.0
20200106:1410,1663.0,390.52,9.69,7.72,3.17,0.0
